"","Scientific.Name","Taxon","Year","Status","received","Budget","O_U","change"
"1114","Anolis roosevelti ","Reptile ",1983,0,0.02,"$70,200 ","Under","No Change"
"1115","Sphaerodactylus micropithecus ","Reptile ",1986,0,0.01,"$564,450 ","Under","No Change"
"1116","Crotalus willardi obscurus ","Reptile ",1985,1,0.4,"$95,480 ","Under","Increased"
"1117","Ameiva polops ","Reptile ",1984,2,0.26,"$36,587 ","Under","Increased"
"1118","Chelonia mydas ","Reptile ",1998,2,0.14,"$22,947,210 ","Under","Increased"
"1119","Nerodia paucimaculata ","Reptile ",1993,2,0.08,"$399,426 ","Under","Increased"
"1120","Epicrates monensis granti ","Reptile ",1986,2,0.03,"$281,160 ","Under","Increased"
"1121","Xantusia riversiana ","Reptile ",1984,3,0.33,"$90,048 ","Under","Increased"
"1122","Epicrates monensis monensis ","Reptile ",1984,3,0.01,"$642,133 ","Under","Increased"
"1123","Crocodylus acutus ","Reptile ",1989,4,0.03,"$5,627,059 ","Under","Increased"
"1124","Lepidochelys kempii ","Reptile ",2011,5,0.41,"$5,251,050 ","Under","Increased"
