"","Status","FWS.Total","Other.Fed","Fed.Total","States.Total","Species.Total","Year"
"316","E",2e+06,5460434,7460434,35900,7496334,2004
"317","T",1351794,23959988,25311782,2116550,27428332,2004
"318","T",10298189,28311745,38609934,1968700,40578634,2004
"319","E",2341384,6453632,8795016,0,8795016,2004
"320","T",1137108,19945500,21082608,3002250,24084858,2004
"321","T",1034823,15532581,16567404,852150,17419554,2004
"322","T",14086,8034850,8048936,12600,8061536,2004
"323","E",1175638,18391132,19566770,687850,20254620,2004
"324","T",911510,6245558,7157068,0,7157068,2004
"325","T",30626,4339292,4369918,3160000,7529918,2004
"326","T",273661,7608489,7882150,528950,8411100,2004
"327","T",229213,4118180,4347393,499450,4846843,2004
"328","T",0,4035432,4035432,0,4035432,2004
"329","T",868781,17562906,18431687,4974050,23405737,2004
"330","T",0,8203000,8203000,1004050,9207050,2004
"331","E",8000,15999689,16007689,1542500,17550189,2004
"332","T",1025,4051000,4052025,225350,4277375,2004
"333","E",700,75200,75900,0,75900,2004
"334","T",200,0,200,0,NA,2004
"335","T",126100,50145,176245,7500,183745,2004
"336","T",1000,0,1000,500,1500,2004
"337","T",14500,137995,152495,5250,157745,2004
"338","E",12500,1000,13500,0,13500,2004
"339","E",31000,648,31648,32500,64148,2004
"340","E",52000,0,52000,0,52000,2004
"341","T",0,2480450,2480450,1000,2481450,2004
"342","E",290653,266251,556904,179900,736804,2004
"343","T",1000,36,1036,0,1036,2004
"344","T",111213,1006000,1117213,635000,1752213,2004
"345","T",107000,481100,588100,3200,591300,2004
"346","T",21371,2000,23371,2900,26271,2004
"347","T",61000,9400,70400,10000,80400,2004
"348","E",35359,0,35359,3500,38859,2004
"349","T",0,16500,16500,0,16500,2004
"350","E",1800,4500,6300,2000,8300,2004
"351","T",49900,0,49900,1000,50900,2004
"352","E",1800,0,1800,1000,2800,2004
"353","T",773554,7389682,8163236,4240000,12403236,2004
"354","T",5957497,20070305,26027802,2175450,28203252,2004
"355","T",10182,3974998,3985180,0,3985180,2004
"356","T",150411,9564879,9715290,434950,10150240,2004
"357","T",0,3930890,3930890,0,3930890,2004
"358","E",0,3961426,3961426,0,3961426,2004
"359","E",160000,15265272,15425272,572150,15997422,2004
"360","T",24851,6283449,6308300,15500,6323800,2004
"361","T",667188,26926171,27593359,366250,27959609,2004
"362","T",38369,4426940,4465309,0,4465309,2004
"363","E",43790,14000,57790,0,57790,2004
"364","E",12000,25284,37284,1000,38284,2004
"365","T",357500,515874,873374,60000,933374,2004
"366","E",1342087,11876686,13218773,151400,13370173,2004
"367","E",1470000,832705,2302705,9200,2311905,2004
"368","E",77324,5206349,5283673,405500,5689173,2004
"369","E",50475,362700,413175,207200,620375,2004
"370","E",483350,3760372,4243722,9500,4253222,2004
"371","E",47986,700,48686,1000,49686,2004
"372","E",490597,6877345,7367942,180700,7548642,2004
"373","T",167254,136428,303682,0,303682,2004
"374","E",463793,3979172,4442965,10500,4453465,2004
"375","T",27763,30000,57763,1500,59263,2004
"376","E",259000,384500,643500,24100,667600,2004
"377","T",33000,292500,325500,120000,445500,2004
"378","T",9693815,19812133,29505948,3064650,32570598,2004
"379","E",61000,28000,89000,96500,185500,2004
"380","T",0,75045,75045,264500,339545,2004
"381","T",2040249,898793,2939042,114100,3053142,2004
"382","T",55999,9000,64999,0,64999,2004
"383","T",247714,44000,291714,0,291714,2004
"384","E",26200,101333,127533,9000,136533,2004
"385","EXPN",441000,0,441000,14500,455500,2004
"386","E",5000,15600,20600,3000,23600,2004
"387","T",53500,46120,99620,2500,102120,2004
"388","E",60500,43936,104436,16700,121136,2004
"389","E",24500,7763,32263,4700,36963,2004
"390","E",100,0,100,500,NA,2004
"391","E",100,0,100,0,NA,2004
"392","E",200,0,200,0,NA,2004
"393","E",40500,16000,56500,0,56500,2004
"394","E",22600,310,22910,0,22910,2004
"395","E",89600,380910,470510,5050,475560,2004
"396","EXPN",0,3850,3850,0,3850,2004
"397","E",26100,0,26100,3000,29100,2004
"398","E",31900,9000,40900,6000,46900,2004
"399","E",32600,13000,45600,6000,51600,2004
"400","E",46500,6020,52520,7000,59520,2004
"401","EXPN",0,31913,31913,0,31913,2004
"402","E",26400,0,26400,3000,29400,2004
"403","E",3500,37300,40800,3000,43800,2004
"404","E",149500,8992,158492,36500,194992,2004
"405","E",39500,19673,59173,0,59173,2004
"406","E",110400,24560,134960,16400,151360,2004
"407","T",10800,600,11400,200,11600,2004
"408","T",27500,4200,31700,3000,34700,2004
"409","E",112500,224892,337392,654500,991892,2004
"410","E",423400,820360,1243760,58900,1302660,2004
"411","E",11500,20800,32300,0,32300,2004
"412","E",39400,0,39400,0,39400,2004
"413","EXPN",5500,0,5500,0,5500,2004
"414","E",32200,450,32650,0,32650,2004
"415","E",184000,98000,282000,3200,285200,2004
"416","EXPN",0,52582,52582,0,52582,2004
"417","T",36000,21600,57600,3000,60600,2004
"418","E",8000,14600,22600,3000,25600,2004
"419","E",50500,7720,58220,0,58220,2004
"420","E",60700,2500,63200,0,63200,2004
"421","E",1100,0,1100,800,1900,2004
"422","E",3800,8750,12550,800,13350,2004
"423","T",39800,12450,52250,3000,55250,2004
"424","E",85000,247425,332425,34300,366725,2004
"425","E",38500,3010,41510,5000,46510,2004
"426","EXPN",0,50000,50000,0,50000,2004
"427","E",79700,53610,133310,28100,161410,2004
